epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.176,1.05281,2.02385,1.21866,0.566,0.74361,0.61907,0.46035,0.81057,1.89961,1.18758,0.0003334,0.0003334,0.0003334
2,25.7282,0.76477,0.84371,1.03702,0.42684,0.88172,0.60681,0.43914,0.90054,1.84617,1.18342,0.000672898,0.000672898,0.000672898
3,38.096,0.76407,0.7442,1.04129,0.63506,0.68698,0.67517,0.51851,0.76681,1.307,1.08662,0.00100156,0.00100156,0.00100156
4,50.4441,0.75443,0.71332,1.04039,0.55915,0.73724,0.66592,0.50665,0.81715,1.068,1.16025,0.0013194,0.0013194,0.0013194
5,62.7442,0.74064,0.72569,1.03407,0.51366,0.78332,0.66182,0.46577,0.8575,1.01418,1.1407,0.00156385,0.00156385,0.00156385
6,74.996,0.74109,0.67121,1.03058,0.66061,0.71187,0.72506,0.54599,0.81537,0.83714,1.15195,0.00153807,0.00153807,0.00153807
7,87.4231,0.72184,0.66451,1.03512,0.64651,0.78948,0.71825,0.55873,0.73651,0.86621,1.10457,0.00151228,0.00151228,0.00151228
8,99.7612,0.73942,0.65868,1.03705,0.73232,0.66949,0.72642,0.56341,0.73408,1.00733,1.09838,0.0014865,0.0014865,0.0014865
9,112.463,0.69478,0.62155,1.00923,0.6797,0.82278,0.80669,0.64294,0.6789,0.76522,1.07567,0.00146071,0.00146071,0.00146071
10,125.352,0.67537,0.60052,1.00004,0.66002,0.71467,0.76291,0.59462,0.73081,0.79744,1.12767,0.00143492,0.00143492,0.00143492
11,138.129,0.68145,0.60182,1.01168,0.64977,0.71465,0.67704,0.51878,0.81319,1.09172,1.18512,0.00140914,0.00140914,0.00140914
12,150.885,0.66607,0.59955,0.99914,0.74564,0.72525,0.76496,0.59749,0.73575,0.83027,1.10042,0.00138335,0.00138335,0.00138335
13,163.325,0.64032,0.57075,0.98379,0.67481,0.7669,0.76905,0.59948,0.75177,0.85632,1.11553,0.00135756,0.00135756,0.00135756
14,175.635,0.65988,0.57302,0.99367,0.71303,0.73461,0.77593,0.60163,0.76291,0.82253,1.1078,0.00133178,0.00133178,0.00133178
15,188.096,0.64561,0.55895,0.98912,0.70354,0.7595,0.7767,0.61241,0.73536,0.78664,1.12708,0.00130599,0.00130599,0.00130599
16,200.478,0.62648,0.55111,0.97434,0.6809,0.74473,0.79211,0.61917,0.76931,0.9287,1.17436,0.0012802,0.0012802,0.0012802
17,212.931,0.62406,0.53394,0.97705,0.80132,0.74884,0.81717,0.6376,0.70864,0.72817,1.11843,0.00125442,0.00125442,0.00125442
18,225.279,0.6135,0.51827,0.9677,0.73836,0.85968,0.87093,0.67871,0.75839,0.63246,1.14153,0.00122863,0.00122863,0.00122863
19,237.753,0.62286,0.51848,0.97501,0.81831,0.7574,0.84196,0.65849,0.72847,0.72612,1.10837,0.00120284,0.00120284,0.00120284
